#{"t_start": 1702587931.5882936, "env_id": "None"}
r,l,t
10.0,4,644.551391
-7.0,1,644.553387
-7.0,5,644.557387
-7.0,1,644.559388
-7.0,3,644.56739
-7.0,3,644.570393
-7.0,3,644.5744
-7.0,4,644.581404
-7.0,5,644.587916
-7.0,3,644.590916
-7.0,1,644.592917
-7.0,1,644.59692
-7.0,1,644.600917
-7.0,5,644.607919
-7.0,1,644.611933
-7.0,1,644.614919
-7.0,4,644.622917
-7.0,3,644.62992
-7.0,2,644.632918
-7.0,1,644.636918
-7.0,1,644.641917
-7.0,1,644.644918
10.0,3,644.649918
-7.0,1,644.65292
-7.0,4,644.66092
-7.0,2,644.663916
-7.0,2,644.667922
-7.0,1,644.669919
-7.0,4,644.676928
-7.0,1,644.679929
-7.0,1,644.681931
-7.0,2,644.686448
-7.0,3,644.693444
-7.0,1,644.697447
-7.0,1,644.699447
-7.0,5,644.704449
-7.0,2,644.708447
-7.0,1,644.710444
-7.0,1,644.713444
-7.0,3,644.716448
-7.0,1,644.719444
-7.0,4,644.724447
-7.0,2,644.728448
-7.0,2,644.730447
-7.0,1,644.734443
-7.0,4,644.737444
-7.0,3,644.740447
-7.0,3,644.744458
-7.0,3,644.750444
0.0,5,644.755442
-7.0,1,644.757443
-7.0,4,644.763445
-7.0,4,644.768446
-7.0,5,644.773459
-7.0,3,644.778457
-7.0,2,644.782456
-7.0,1,644.785455
-7.0,1,644.787596
-7.0,2,644.789597
-7.0,1,644.791595
-7.0,1,644.794605
-7.0,3,644.798594
-7.0,3,644.800594
-7.0,1,644.802596
-7.0,3,644.807599
-7.0,1,644.809597
-7.0,1,644.8126
-7.0,1,644.815596
-7.0,1,644.818597
-7.0,1,644.820598
-7.0,2,644.823596
-7.0,1,644.824596
-7.0,1,644.830596
-7.0,3,644.833598
-7.0,2,644.836601
-7.0,2,644.838599
-7.0,3,644.846596
-7.0,1,644.848597
-7.0,1,644.850596
-7.0,2,644.851597
-10.0,4,644.858599
-7.0,1,644.859597
-7.0,2,644.864602
-10.0,4,644.870597
-7.0,4,644.875605
-7.0,3,644.881604
-7.0,4,644.884605
-7.0,2,644.886991
-7.0,2,644.890996
-7.0,1,644.891992
-10.0,3,644.897992
-7.0,2,644.899993
-7.0,3,644.904994
-7.0,3,644.907992
-7.0,2,644.913994
-7.0,3,644.931991
-7.0,1,644.936992
-7.0,2,644.943997
-7.0,1,644.946993
-7.0,3,644.950995
-7.0,1,644.955992
-7.0,3,644.958996
-7.0,2,644.963992
-7.0,1,644.965993
-7.0,4,644.971999
-7.0,1,644.974001
-7.0,2,644.974997
-7.0,1,644.976999
-7.0,1,644.982999
-7.0,3,644.987519
-7.0,2,644.991518
-7.0,1,644.99252
-10.0,3,644.999522
-7.0,4,645.003519
-7.0,3,645.006519
-7.0,1,645.00752
-7.0,1,645.012522
